name,birth_date,pesel,phone_number,city,address,email
Dawid Szymański,1978-10-01,78100186597,48704152300,Poznań,ul. Mokotowska 45,dawid.szymański@gmail.com
Kajetan Pietrzak,1987-06-25,87062573417,48631588684,Warszawa,ul. Marszałkowska 44,kajetan.pietrzak@gmail.com
Aleksandra Pawłowska,1941-09-23,41092383725,48569140990,Gdańsk,ul. Długa 65,aleksandra.pawłowska@gmail.com
Aneta Ostrowska,1953-12-16,53121657226,48626382038,Warszawa,ul. Puławska 34,aneta.ostrowska@gmail.com
Bogdan Grabowski,1948-12-16,48121623991,48735669180,Poznań,ul. Długa 2,bogdan.grabowski@gmail.com
Krzysztof Kaczmarek,1940-11-16,40111611050,48576862799,Poznań,Al. Rzeczypospolitej 22,krzysztof.kaczmarek@gmail.com
Natalia Górska,1952-11-11,52111121525,48706590692,Poznań,ul. Żwirki i Wigury 87,natalia.górska@gmail.com
Julia Sikora,1955-08-22,55082225902,48642303492,Łódź,ul. Żwirki i Wigury 12,julia.sikora@gmail.com
Małgorzata Ostrowska,1977-10-01,77100195028,48525221460,Warszawa,ul. Złota 25,małgorzata.ostrowska@gmail.com
Jarosław Rutkowski,2005-03-13,05231342435,48545166757,Warszawa,ul. Chmielna 81,jarosław.rutkowski@gmail.com
Emilia Dudek,1952-08-16,52081648084,48707776616,Gdańsk,Al. KEN 61,emilia.dudek@gmail.com
Emilia Zielińska,1951-08-11,51081173246,48750843076,Gdańsk,ul. Złota 6,emilia.zielińska@gmail.com
Lucyna Wróblewska,1950-08-26,50082627464,48745564701,Łódź,ul. Wspólna 66,lucyna.wróblewska@gmail.com
Kazimiera Tomaszewska,2002-05-15,02251522823,48590780901,Kraków,ul. Chmielna 15,kazimiera.tomaszewska@gmail.com
Adam Pietrzak,1996-03-13,96031330838,48769944329,Gdańsk,ul. Marszałkowska 25,adam.pietrzak@gmail.com
Krystyna Michalska,1940-10-16,40101604462,48676389116,Warszawa,ul. Targowa 39,krystyna.michalska@gmail.com
Barbara Grabowska,1984-07-28,84072817001,48543413373,Łódź,ul. Mokotowska 52,barbara.grabowska@gmail.com
Amelia Rutkowska,2001-01-22,01212230166,48601649492,Warszawa,ul. Chmielna 35,amelia.rutkowska@gmail.com
Krystyna Malinowska,1998-08-04,98080454125,48630517724,Łódź,Al. Wojska Polskiego 42,krystyna.malinowska@gmail.com
Katarzyna Majewska,1979-10-28,79102802241,48638850420,Kraków,ul. Targowa 20,katarzyna.majewska@gmail.com
Justyna Grabowska,1946-10-29,46102933127,48724806885,Kraków,ul. Nowy Świat 11,justyna.grabowska@gmail.com
Kazimierz Górski,1950-07-08,50070839655,48508736309,Kraków,Al. Waszyngtona 72,kazimierz.górski@gmail.com
Jan Wróbel,1991-01-06,91010661758,48612365736,Kraków,Al. Wilanowska 87,jan.wróbel@gmail.com
